"Story","Title","Result","Date","Stability","Duration (s)"
"Guest User Compare Products","Guest User Compare N Products","SUCCESS","2016-08-20T19:38:45.398+01:00","0.0","40.37"
"Guest User Compare Products","Guest User Populate Compare Product from PDP","SUCCESS","2016-08-20T19:38:15.807+01:00","0.0","27.02"
"Guest User Compare Products","Guest User Populate Compare Product from PLP","SUCCESS","2016-08-20T19:37:50.513+01:00","0.0","23.1"
"Guest User Compare Products","Guest User Populate Compare Product via Base Page","SUCCESS","2016-08-20T19:37:17.956+01:00","0.0","30.05"
"Populate Cart","Populate Cart via Base Page - Simple Product","SUCCESS","2016-08-20T19:42:21.919+01:00","0.0","25.13"
"Populate Cart","Populate Cart via PDP - Configurable Product","SUCCESS","2016-08-20T19:42:48.154+01:00","0.0","23.81"
"Populate Cart","Populate Cart via PDP - Simple Product","SUCCESS","2016-08-20T19:41:58.192+01:00","0.0","20.95"
"Populate Cart","Populate Cart via PLP - Simple Product","SUCCESS","2016-08-20T19:41:34.862+01:00","0.0","20.88"
"Populate Cart","Populate Cart via Search Result - Simple Product","SUCCESS","2016-08-20T19:43:15.607+01:00","0.0","21.22"
"Registered User Compare Products","Registered User Compare N Products","SUCCESS","2016-08-20T19:30:45.749+01:00","0.0","102.08"
"Registered User Compare Products","Registered User Compare Product via Base Page","SUCCESS","2016-08-20T19:28:53.145+01:00","0.0","36.61"
"Registered User Compare Products","Registered User Compare Product via PDP","SUCCESS","2016-08-20T19:30:08.264+01:00","0.0","35.83"
"Registered User Compare Products","Registered User Compare Product via PLP","SUCCESS","2016-08-20T19:29:32.132+01:00","0.0","34.29"
"Registered User Compare Products","Remove Compared Product via Base Page","SUCCESS","2016-08-20T19:33:01.966+01:00","0.0","34.4"
"Registered User Compare Products","Remove Compared Product via Compare Page","SUCCESS","2016-08-20T19:34:12.778+01:00","0.0","39.39"
"Registered User Compare Products","Remove Compared Product via My Account","SUCCESS","2016-08-20T19:32:29.622+01:00","0.0","31.31"
"Registered User Compare Products","Remove Compared Product via PLP","SUCCESS","2016-08-20T19:33:37.165+01:00","0.0","33.3"
