"Story","Title","Result","Date","Stability","Duration (s)"
"Browse Top Level Category","Gear with Empty LHS","SUCCESS","2016-07-29T00:38:02.769+01:00","0.0","24.0"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-29T00:21:51.048+01:00","0.0","60.27"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-24T16:53:52.607+01:00","0.0","65.08"
"Guest User to Registered User Login and Logout","Guest User Sign Up to be Registered User","SUCCESS","2016-07-29T00:32:34.678+01:00","0.0","45.6"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-24T16:53:35.946+01:00","0.0","15.95"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-29T00:21:35.996+01:00","0.0","14.28"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-24T16:53:16.501+01:00","0.0","18.09"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-29T00:21:16.278+01:00","0.0","18.04"
"Luma Product List Page","Navigate Audi Experience Products Default PLP","FAILURE","2016-07-25T23:47:42.828+01:00","0.0","31.63"
"Luma Product List Page","Navigate Audi Experience Products PLP List View","FAILURE","2016-07-25T23:49:54.482+01:00","0.0","31.5"
"Luma Product Details Page - Category and Search","Navigate Configurable Product via Sub Category","SUCCESS","2016-07-29T00:27:53.292+01:00","0.0","95.12"
"Luma Product Details Page - Category and Search","Navigate Configurable Product via Top Category","SUCCESS","2016-07-29T00:27:05.893+01:00","0.0","44.71"
"Luma Product List Page","Navigate Configurable Products Default","SUCCESS","2016-07-28T11:17:16.764+01:00","0.0","39.65"
"Luma Product List Page","Navigate Configurable Products Default PLP","FAILURE","2016-07-25T23:47:10.280+01:00","0.0","31.43"
"Luma Product List Page","Navigate Configurable Products PLP Default","SUCCESS","2016-07-29T00:30:13.301+01:00","0.0","36.46"
"Luma Product List Page","Navigate Configurable Products PLP List View","SUCCESS","2016-07-29T00:31:44.396+01:00","0.0","49.1"
"Luma Product List Page","Navigate Mixed Products Default PLP","FAILURE","2016-07-25T23:48:15.728+01:00","0.0","31.57"
"Luma Product List Page","Navigate Mixed Products PLP List View","FAILURE","2016-07-25T23:50:27.224+01:00","0.0","31.98"
"Luma Product Details Page - Category and Search","Navigate Simple Product","FAILURE","2016-07-25T23:45:38.618+01:00","0.0","10.05"
"Luma Product Details Page - Category and Search","Navigate Simple Product via Sub Category","SUCCESS","2016-07-29T00:24:51.902+01:00","0.0","132.41"
"Luma Product Details Page - Category and Search","Navigate Simple Product via Top Category","SUCCESS","2016-07-29T00:23:12.930+01:00","0.0","98.08"
"Luma Product List Page","Navigate Simple Products Default","SUCCESS","2016-07-28T11:16:27.385+01:00","0.0","47.09"
"Luma Product List Page","Navigate Simple Products Default PLP","FAILURE","2016-07-25T23:46:37.619+01:00","0.0","31.79"
"Luma Product List Page","Navigate Simple Products PLP Default","SUCCESS","2016-07-29T00:29:29.900+01:00","0.0","42.36"
"Luma Product List Page","Navigate Simple Products PLP List View","SUCCESS","2016-07-29T00:30:51.169+01:00","0.0","52.17"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-24T16:54:58.446+01:00","0.0","20.89"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-29T00:22:52.223+01:00","0.0","19.72"
"Guest User to Registered User Login and Logout","Registered User Login and Logout","SUCCESS","2016-07-29T00:33:21.895+01:00","0.0","26.29"
"Browse Top Level Category","Sale without Products","SUCCESS","2016-07-29T00:38:46.645+01:00","0.0","16.84"
"Product Search","Search Configurable Product Result PLP List View","SUCCESS","2016-07-29T00:34:42.261+01:00","0.0","57.99"
"Product Search","Search Product with Empty Result","SUCCESS","2016-07-29T00:35:42.395+01:00","0.0","20.45"
"Product Search","Search Simple Product Result Default PLP","SUCCESS","2016-07-29T00:33:50.094+01:00","0.0","51.0"
"Product Search","Search and Navigate to Configurable Product","SUCCESS","2016-07-29T00:36:43.489+01:00","0.0","18.15"
"Product Search","Search and Navigate to Simple Product","SUCCESS","2016-07-29T00:36:04.127+01:00","0.0","38.03"
"Browse Top Level Category","Training with Promo Only","SUCCESS","2016-07-29T00:38:28.321+01:00","0.0","16.42"
"Browse Top Level Category","What's New","SUCCESS","2016-07-25T23:28:31.396+01:00","0.0","52.88"
"Browse Top Level Category","What's New, Women and Men","SUCCESS","2016-07-29T00:37:03.004+01:00","0.0","57.57"
