"Story","Title","Result","Date","Stability","Duration (s)"
"Luma Product List Page","Navigate Audi Experience Products Default PLP","FAILURE","2016-07-25T23:47:42.828+01:00","0.0","31.63"
"Luma Product List Page","Navigate Audi Experience Products PLP List View","FAILURE","2016-07-25T23:49:54.482+01:00","0.0","31.5"
"Luma Product List Page","Navigate Configurable Products Default","SUCCESS","2016-07-28T11:17:16.764+01:00","0.0","39.65"
"Luma Product List Page","Navigate Configurable Products Default PLP","FAILURE","2016-07-25T23:47:10.280+01:00","0.0","31.43"
"Luma Product List Page","Navigate Configurable Products PLP Default","SUCCESS","2016-07-29T00:30:13.301+01:00","0.0","36.46"
"Luma Product List Page","Navigate Configurable Products PLP List View","SUCCESS","2016-07-29T00:31:44.396+01:00","0.0","49.1"
"Luma Product List Page","Navigate Mixed Products Default PLP","FAILURE","2016-07-25T23:48:15.728+01:00","0.0","31.57"
"Luma Product List Page","Navigate Mixed Products PLP List View","FAILURE","2016-07-25T23:50:27.224+01:00","0.0","31.98"
"Luma Product List Page","Navigate Simple Products Default","SUCCESS","2016-07-28T11:16:27.385+01:00","0.0","47.09"
"Luma Product List Page","Navigate Simple Products Default PLP","FAILURE","2016-07-25T23:46:37.619+01:00","0.0","31.79"
"Luma Product List Page","Navigate Simple Products PLP Default","SUCCESS","2016-07-29T00:29:29.900+01:00","0.0","42.36"
"Luma Product List Page","Navigate Simple Products PLP List View","SUCCESS","2016-07-29T00:30:51.169+01:00","0.0","52.17"
