"Story","Title","Result","Date","Stability","Duration (s)"
"Browse Top Level Category","Gear with Empty LHS","SUCCESS","2016-07-26T00:51:30.247+01:00","0.0","22.04"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-26T00:48:59.605+01:00","0.0","53.27"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-24T16:53:52.607+01:00","0.0","65.08"
"Guest User to Registered User Login and Logout","Guest User Sign Up to be Registered User","SUCCESS","2016-07-25T23:51:00.456+01:00","0.0","22.97"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-24T16:53:35.946+01:00","0.0","15.95"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-26T00:48:46.042+01:00","0.0","12.89"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-24T16:53:16.501+01:00","0.0","18.09"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-26T00:48:30.176+01:00","0.0","14.66"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-24T16:54:58.446+01:00","0.0","20.89"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-26T00:49:53.586+01:00","0.0","18.14"
"Guest User to Registered User Login and Logout","Registered User Login and Logout","SUCCESS","2016-07-26T00:50:12.437+01:00","0.0","20.03"
"Browse Top Level Category","Sale without Products","SUCCESS","2016-07-26T00:52:08.727+01:00","0.0","13.15"
"Browse Top Level Category","Training with Promo Only","SUCCESS","2016-07-26T00:51:53.088+01:00","0.0","14.74"
"Browse Top Level Category","What's New, Women and Men","ERROR","2016-07-26T00:50:33.656+01:00","0.0","55.65"
